ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2008,7,Caatinga,96.67608706790803,96.2649,-0.411,-0.43
2009,7,Mata Atlântica,152.0938005712942,153.0417,0.948,0.62
2009,7,Cerrado,129.20520735179286,128.5139,-0.691,-0.53
2009,7,Caatinga,110.50602403828476,110.0889,-0.417,-0.38
2010,7,Mata Atlântica,133.8174127157291,134.824,1.007,0.75
2010,7,Cerrado,105.91756411834378,105.7176,-0.2,-0.19
2010,7,Caatinga,90.28140615430614,90.3302,0.049,0.05
2011,7,Mata Atlântica,132.66117338894648,133.5231,0.862,0.65
2011,7,Cerrado,111.09229712251845,111.042,-0.05,-0.05
2011,7,Caatinga,82.47411262399514,82.3642,-0.11,-0.13
2012,7,Mata Atlântica,130.61142858244253,131.4271,0.816,0.62
2012,7,Cerrado,71.40690769097289,71.1223,-0.285,-0.4
2012,7,Caatinga,65.3894337695969,65.176,-0.213,-0.33
2013,7,Mata Atlântica,136.40319242437675,137.0336,0.63,0.46
2013,7,Cerrado,83.23886991103839,82.8257,-0.413,-0.5
2013,7,Caatinga,73.22630396832669,72.9292,-0.297,-0.41
2014,7,Mata Atlântica,130.09694307488888,130.7382,0.641,0.49
2014,7,Cerrado,95.43172796187301,95.0226,-0.409,-0.43
2014,7,Caatinga,77.01654602709206,76.7931,-0.223,-0.29
2015,7,Mata Atlântica,136.122020268994,136.5133,0.391,0.29
2015,7,Cerrado,99.14566501280248,99.4073,0.262,0.26
2015,7,Caatinga,85.52558609855956,85.4579,-0.068,-0.08
2016,7,Mata Atlântica,127.4579437649136,128.0572,0.599,0.47
2016,7,Cerrado,64.25065223049715,64.0901,-0.161,-0.25
